water_year,month,day,calendar_year,hour,sme2_ws_m/s,smf1_ws_m/s,smg1_ws_m/s,smg2_ws_m/s,smm1_ws_m/s,smm2_ws_m/s
2011,10,19,2010,00, 2.6, 0.5, 0.5, 0.9, 0.5, 1.3
2011,10,19,2010,01, 1.6, 0.5, 0.5, 0.7, 0.5, 1.1
2011,10,19,2010,02, 0.8, 0.5, 0.5, 0.7, 0.5, 0.8
2011,10,19,2010,03, 0.5, 0.5, 0.5, 1.3, 0.5, 0.5
2011,10,19,2010,04, 0.7, 0.5, 0.5, 1.8, 0.5, 1.9
2011,10,19,2010,05, 0.9, 0.5, 0.5, 0.7, 0.5, 0.5
2011,10,19,2010,06, 0.8, 0.5, 0.5, 1.2, 0.5, 0.5
2011,10,19,2010,07, 0.5, 0.5, 0.5, 0.7, 0.5, 0.7
2011,10,19,2010,08, 0.8, 0.5, 0.5, 0.9, 0.5, 0.7
2011,10,19,2010,09, 0.6, 0.5, 0.5, 0.8, 0.5, 0.9
2011,10,19,2010,10, 1.3, 0.6, 0.9, 1.5, 0.7, 1.6
2011,10,19,2010,11, 1.5, 0.7, 0.9, 1.5, 1.0, 1.6
2011,10,19,2010,12, 2.0, 0.8, 1.0, 1.6, 1.2, 1.5
2011,10,19,2010,13, 1.9, 0.8, 1.0, 1.8, 1.1, 1.6
2011,10,19,2010,14, 2.2, 0.8, 1.2, 1.8, 1.2, 2.2
2011,10,19,2010,15, 2.4, 0.7, 1.2, 2.1, 1.2, 2.3
2011,10,19,2010,16, 2.4, 0.5, 1.2, 2.0, 0.9, 2.6
2011,10,19,2010,17, 2.1, 0.5, 0.5, 1.6, 0.5, 2.1
2011,10,19,2010,18, 0.6, 0.5, 0.5, 1.2, 0.5, 1.0
2011,10,19,2010,19, 1.3, 0.5, 0.5, 1.6, 0.5, 1.7
2011,10,19,2010,20, 1.2, 0.5, 0.5, 1.1, 0.5, 1.4
2011,10,19,2010,21, 1.0, 0.5, 0.5, 1.8, 0.5, 1.2
2011,10,19,2010,22, 0.5, 0.5, 0.5, 1.9, 0.5, 0.8
2011,10,19,2010,23, 0.5, 0.5, 0.5, 1.7, 0.5, 0.7
2011,10,20,2010,00, 0.5, 0.5, 0.5, 1.3, 0.5, 0.5
2011,10,20,2010,01, 0.5, 0.5, 0.5, 1.3, 0.5, 0.5
2011,10,20,2010,02, 0.5, 0.5, 0.5, 1.0, 0.5, 1.2
2011,10,20,2010,03, 0.6, 0.5, 0.5, 0.5, 0.5, 1.7
2011,10,20,2010,04, 0.7, 0.5, 0.5, 0.6, 0.5, 1.1
2011,10,20,2010,05, 0.8, 0.5, 0.5, 0.7, 0.5, 1.3
2011,10,20,2010,06, 0.7, 0.5, 0.5, 0.8, 0.5, 1.7
2011,10,20,2010,07, 0.8, 0.5, 0.5, 1.0, 0.5, 2.4
2011,10,20,2010,08, 0.7, 0.5, 0.5, 0.8, 0.5, 2.2
2011,10,20,2010,09, 1.0, 0.5, 0.9, 1.3, 0.9, 2.4
2011,10,20,2010,10, 1.3, 0.8, 0.9, 1.6, 1.1, 2.5
2011,10,20,2010,11, 2.0, 0.8, 1.2, 2.2, 1.2, 2.4
2011,10,20,2010,12, 1.8, 0.9, 1.2, 2.1, 1.2, 1.9
2011,10,20,2010,13, 1.7, 0.8, 1.1, 2.1, 1.2, 2.0
2011,10,20,2010,14, 1.6, 0.6, 1.0, 1.8, 1.0, 1.6
2011,10,20,2010,15, 1.2, 0.5, 1.1, 1.6, 1.1, 1.6
2011,10,20,2010,16, 0.9, 0.5, 0.6, 1.4, 0.6, 1.2
2011,10,20,2010,17, 0.7, 0.5, 0.5, 1.2, 0.5, 1.2
2011,10,20,2010,18, 0.5, 0.5, 0.5, 0.5, 0.5, 1.2
2011,10,20,2010,19, 0.5, 0.5, 0.8, 0.8, 0.5, 1.2
2011,10,20,2010,20, 0.5, 0.5, 0.7, 0.9, 0.5, 1.2
2011,10,20,2010,21, 0.5, 0.5, 0.5, 0.7, 0.5, 0.7
2011,10,20,2010,22, 0.6, 0.5, 0.5, 1.3, 0.5, 1.1
2011,10,20,2010,23, 0.5, 0.5, 0.5, 1.3, 0.5, 1.0
2011,10,21,2010,00, 0.5, 0.5, 0.5, 1.4, 0.5, 1.1
2011,10,21,2010,01, 0.5, 0.5, 0.6, 1.8, 0.5, 0.8
2011,10,21,2010,02, 0.5, 0.5, 0.5, 1.5, 0.5, 0.5
2011,10,21,2010,03, 0.5, 0.5, 0.5, 1.3, 0.5, 0.6
2011,10,21,2010,04, 0.5, 0.6, 0.5, 1.5, 0.5, 0.5
2011,10,21,2010,05, 0.5, 0.5, 0.5, 1.5, 0.5, 0.7
2011,10,21,2010,06, 0.5, 0.5, 0.5, 1.4, 0.5, 0.7
2011,10,21,2010,07, 0.5, 0.5, 0.5, 1.5, 0.5, 0.5
2011,10,21,2010,08, 0.5, 0.5, 0.5, 0.6, 0.5, 0.5
2011,10,21,2010,09, 1.1, 0.5, 0.5, 0.9, 0.8, 0.7
2011,10,21,2010,10, 1.4, 0.5, 0.5, 1.2, 0.7, 1.2
2011,10,21,2010,11, 2.1, 0.8, 1.1, 1.6, 1.2, 2.0
2011,10,21,2010,12, 2.7, 0.9, 1.3, 2.2, 1.4, 2.7
2011,10,21,2010,13, 2.9, 0.9, 1.3, 2.4, 1.5, 2.9
2011,10,21,2010,14, 2.8, 1.1, 1.3, 2.7, 1.3, 3.0
2011,10,21,2010,15, 2.7, 0.9, 1.2, 2.3, 1.4, 2.8
2011,10,21,2010,16, 2.5, 0.5, 1.1, 2.2, 0.9, 2.5
2011,10,21,2010,17, 1.5, 0.5, 0.5, 1.5, 0.5, 1.5
2011,10,21,2010,18, 0.7, 0.5, 0.5, 0.9, 0.5, 0.9
2011,10,21,2010,19, 0.5, 0.5, 0.5, 1.6, 0.5, 0.7
2011,10,21,2010,20, 0.5, 0.5, 0.5, 1.3, 0.5, 0.5
2011,10,21,2010,21, 1.5, 0.5, 0.5, 0.5, 0.5, 1.1
2011,10,21,2010,22, 0.7, 0.5, 0.5, 0.5, 0.5, 0.8
2011,10,21,2010,23, 0.9, 0.5, 0.5, 0.5, 0.5, 0.7
2011,10,22,2010,00, 1.0, 0.5, 0.5, 0.6, 0.5, 1.7
2011,10,22,2010,01, 0.8, 0.5, 0.5, 0.5, 0.5, 0.9
2011,10,22,2010,02, 1.1, 0.5, 0.5, 0.8, 0.5, 1.0
2011,10,22,2010,03, 2.2, 0.5, 0.5, 1.5, 0.5, 2.1
2011,10,22,2010,04, 2.9, 0.5, 0.5, 1.8, 0.6, 2.5
2011,10,22,2010,05, 2.2, 0.5, 0.5, 2.0, 0.5, 2.3
2011,10,22,2010,06, 2.0, 0.5, 0.5, 1.1, 0.5, 1.8
2011,10,22,2010,07, 2.0, 0.5, 0.5, 1.1, 0.5, 1.5
2011,10,22,2010,08, 2.1, 0.5, 0.5, 1.2, 0.5, 1.7
2011,10,22,2010,09, 2.8, 0.6, 0.9, 2.4, 1.1, 2.8
2011,10,22,2010,10, 3.2, 1.1, 1.7, 2.8, 1.6, 3.6
2011,10,22,2010,11, 3.1, 0.9, 1.7, 2.7, 1.7, 3.3
2011,10,22,2010,12, 3.3, 1.1, 1.7, 2.9, 1.8, 3.7
2011,10,22,2010,13, 3.3, 1.2, 1.6, 3.0, 1.7, 3.5
2011,10,22,2010,14, 3.5, 1.0, 1.5, 3.0, 1.5, 3.7
2011,10,22,2010,15, 3.7, 0.9, 1.7, 2.9, 1.7, 4.2
2011,10,22,2010,16, 2.9, 0.7, 1.2, 2.5, 1.0, 3.3
2011,10,22,2010,17, 1.7, 0.5, 0.7, 1.7, 0.5, 1.8
2011,10,22,2010,18, 0.8, 0.5, 0.5, 1.1, 0.5, 1.0
2011,10,22,2010,19, 0.5, 0.5, 0.5, 1.3, 0.5, 0.5
2011,10,22,2010,20, 0.5, 0.5, 0.5, 1.0, 0.5, 0.5
2011,10,22,2010,21, 0.9, 0.5, 0.5, 0.8, 0.5, 1.0
2011,10,22,2010,22, 1.3, 0.5, 0.5, 0.8, 0.5, 1.1
2011,10,22,2010,23, 1.1, 0.5, 0.5, 0.6, 0.5, 0.7
2011,10,23,2010,00, 0.5, 0.5, 0.5, 0.9, 0.5, 0.6
2011,10,23,2010,01, 1.2, 0.5, 0.5, 0.9, 0.5, 1.3
2011,10,23,2010,02, 2.3, 0.5, 0.5, 1.6, 0.5, 2.5
2011,10,23,2010,03, 0.6, 0.5, 0.5, 1.1, 0.5, 0.7
2011,10,23,2010,04, 2.6, 0.5, 0.5, 2.0, 0.5, 2.3
2011,10,23,2010,05, 2.0, 0.5, 0.5, 1.3, 0.5, 1.6
2011,10,23,2010,06, 2.7, 0.5, 0.5, 1.7, 0.5, 2.2
2011,10,23,2010,07, 2.1, 0.5, 0.5, 1.2, 0.5, 1.8
2011,10,23,2010,08, 2.4, 0.5, 0.5, 1.6, 0.5, 1.9
2011,10,23,2010,09, 3.7, 0.5, 1.0, 2.9, 0.7, 4.1
2011,10,23,2010,10, 3.1, 0.5, 0.7, 2.2, 0.7, 3.2
2011,10,23,2010,11, 2.1, 0.5, 0.6, 1.6, 0.5, 1.8
2011,10,23,2010,12, 2.6, 0.5, 1.0, 2.3, 0.9, 2.8
2011,10,23,2010,13, 3.1, 0.7, 1.3, 2.6, 1.1, 3.8
2011,10,23,2010,14, 3.5, 0.6, 1.4, 3.1, 1.3, 4.2
2011,10,23,2010,15, 3.5, 0.7, 1.5, 3.2, 1.4, 4.3
2011,10,23,2010,16, 3.1, 0.5, 0.7, 2.3, 0.8, 3.1
2011,10,23,2010,17, 1.2, 0.5, 0.5, 0.9, 0.5, 1.2
2011,10,23,2010,18, 1.7, 0.5, 0.5, 1.1, 0.5, 1.2
2011,10,23,2010,19, 1.3, 0.5, 0.5, 0.9, 0.5, 1.1
2011,10,23,2010,20, 1.1, 0.5, 0.5, 0.7, 0.5, 1.1
2011,10,23,2010,21, 2.4, 0.5, 0.7, 2.6, 0.5, 2.5
2011,10,23,2010,22, 2.9, 0.5, 0.7, 2.3, 0.6, 2.7
2011,10,23,2010,23, 2.0, 0.5, 0.5, 1.9, 0.5, 1.9
2011,10,24,2010,00, 3.0, 0.5, 0.5, 2.5, 0.5, 2.7
2011,10,24,2010,01, 2.6, 0.5, 0.5, 2.4, 0.5, 2.5
2011,10,24,2010,02, 3.4, 0.5, 1.0, 3.3, 0.9, 3.2
2011,10,24,2010,03, 2.4, 0.5, 0.5, 2.2, 0.6, 2.3
2011,10,24,2010,04, 2.4, 0.5, 0.6, 2.8, 0.6, 2.8
2011,10,24,2010,05, 3.1, 0.5, 0.9, 2.8, 0.5, 3.0
2011,10,24,2010,06, 3.6, 0.5, 1.0, 3.1, 0.7, 3.4
2011,10,24,2010,07, 5.2, 0.9, 1.7, 3.7, 1.1, 4.4
2011,10,24,2010,08, 5.5, 1.0, 1.9, 4.2, 1.4, 4.6
2011,10,24,2010,09, 5.4, 0.9, 1.6, 4.2, 1.3, 4.7
2011,10,24,2010,10, 5.5, 1.1, 2.0, 4.2, 1.4, 4.9
2011,10,24,2010,11, 6.6, 1.0, 2.2, 4.9, 1.9, 5.7
2011,10,24,2010,12, 6.8, 0.9, 2.2, 4.8, 1.7, 6.1
2011,10,24,2010,13, 7.2, 1.1, 2.5, 5.2, 2.0, 6.2
2011,10,24,2010,14, 8.4, 1.2, 2.9, 6.2, 2.4, 7.6
2011,10,24,2010,15, 8.7, 1.4, 2.6, 6.1, 2.7, 9.8
2011,10,24,2010,16, 8.4, 1.6, 2.4, 6.0, 2.5, 9.9
2011,10,24,2010,17, 7.7, 1.4, 2.5, 6.1, 2.0, 9.7
2011,10,24,2010,18, 8.8, 1.8, 4.0, 7.1, 4.1,10.1
2011,10,24,2010,19, 6.1, 1.0, 1.9, 4.6, 2.2, 5.8
2011,10,24,2010,20, 4.9, 0.9, 1.6, 4.2, 1.6, 4.7
2011,10,24,2010,21, 4.8, 0.9, 1.3, 3.6, 1.9, 4.2
2011,10,24,2010,22, 6.0, 1.2, 2.1, 5.6, 2.7, 6.5
2011,10,24,2010,23, 5.1, 0.8, 2.1, 4.6, 1.8, 5.4
2011,10,25,2010,00, 5.2, 0.8, 1.7, 4.5, 1.6, 4.9
2011,10,25,2010,01, 4.4, 0.5, 1.1, 3.5, 1.0, 4.4
2011,10,25,2010,02, 3.7, 0.5, 0.5, 2.4, 0.7, 3.6
2011,10,25,2010,03, 4.1, 0.5, 0.8, 3.0, 1.1, 4.1
2011,10,25,2010,04, 3.5, 0.5, 0.5, 2.4, 0.6, 3.2
2011,10,25,2010,05, 2.9, 0.5, 0.7, 2.6, 0.6, 3.5
2011,10,25,2010,06, 3.5, 0.5, 0.5, 2.8, 1.1, 4.0
2011,10,25,2010,07, 3.6, 0.5, 0.6, 2.8, 1.0, 3.9
2011,10,25,2010,08, 1.7, 0.5, 0.5, 1.6, 0.5, 2.4
2011,10,25,2010,09, 3.2, 0.5, 1.1, 2.1, 1.1, 2.7
2011,10,25,2010,10, 5.2, 1.0, 1.8, 3.9, 2.1, 6.0
2011,10,25,2010,11, 3.7, 1.2, 1.7, 3.7, 1.7, 4.1
2011,10,25,2010,12, 3.8, 0.8, 1.7, 3.4, 1.9, 4.8
2011,10,25,2010,13, 4.1, 1.0, 1.9, 3.7, 2.0, 5.2
2011,10,25,2010,14, 4.4, 1.0, 1.8, 3.8, 2.0, 5.0
2011,10,25,2010,15, 4.9, 1.2, 2.0, 4.2, 2.0, 6.4
2011,10,25,2010,16, 4.8, 1.0, 2.2, 4.7, 2.1, 6.4
2011,10,25,2010,17, 4.7, 0.9, 1.6, 4.4, 1.9, 5.7
2011,10,25,2010,18, 3.0, 0.5, 1.0, 2.8, 0.8, 3.6
2011,10,25,2010,19, 1.5, 0.5, 0.5, 1.3, 0.5, 2.4
2011,10,25,2010,20, 1.9, 0.5, 0.5, 1.4, 0.5, 2.4
2011,10,25,2010,21, 1.9, 0.5, 0.5, 0.8, 0.5, 1.9
2011,10,25,2010,22, 1.5, 0.5, 0.5, 1.0, 0.5, 1.4
2011,10,25,2010,23, 1.9, 0.5, 0.5, 1.0, 0.5, 1.8
2011,10,26,2010,00, 2.6, 0.5, 0.5, 1.7, 0.5, 2.5
2011,10,26,2010,01, 3.1, 0.5, 0.5, 1.5, 0.5, 3.1
2011,10,26,2010,02, 5.0, 0.8, 1.3, 3.9, 1.8, 6.1
2011,10,26,2010,03, 3.6, 0.6, 1.2, 3.5, 0.9, 4.3
2011,10,26,2010,04, 3.2, 0.5, 0.6, 2.3, 0.8, 3.9
2011,10,26,2010,05, 2.2, 0.5, 0.5, 1.1, 0.5, 2.3
2011,10,26,2010,06, 1.2, 0.5, 0.5, 0.5, 0.5, 0.7
2011,10,26,2010,07, 2.0, 0.5, 0.5, 1.2, 0.5, 2.0
2011,10,26,2010,08, 3.0, 0.5, 0.9, 2.6, 0.8, 3.8
2011,10,26,2010,09, 3.1, 0.5, 1.1, 3.0, 0.9, 3.5
2011,10,26,2010,10, 3.9, 0.7, 1.1, 3.1, 1.2, 4.8
2011,10,26,2010,11, 4.7, 0.9, 1.8, 4.4, 2.0, 6.1
2011,10,26,2010,12, 5.8, 1.2, 2.4, 5.2, 2.7, 7.7
2011,10,26,2010,13, 5.1, 1.3, 2.4, 4.7, 2.6, 7.3
2011,10,26,2010,14, 5.8, 1.4, 2.4, 4.7, 2.8, 6.6
2011,10,26,2010,15, 4.9, 1.3, 2.3, 4.7, 2.0, 6.3
2011,10,26,2010,16, 5.1, 1.4, 2.0, 5.2, 1.9, 6.2
2011,10,26,2010,17, 5.5, 1.2, 2.1, 5.5, 2.3, 5.9
2011,10,26,2010,18, 5.3, 0.9, 1.9, 5.5, 2.1, 6.1
2011,10,26,2010,19, 4.5, 0.5, 1.6, 4.7, 1.2, 4.9
2011,10,26,2010,20, 3.9, 0.5, 1.3, 4.3, 1.2, 4.6
2011,10,26,2010,21, 2.7, 0.5, 0.5, 1.9, 0.6, 2.6
2011,10,26,2010,22, 3.7, 0.5, 0.7, 2.4, 0.5, 2.8
2011,10,26,2010,23, 2.9, 0.5, 0.5, 2.0, 0.6, 2.3
2011,10,27,2010,00, 2.6, 0.5, 0.5, 1.7, 0.5, 2.1
2011,10,27,2010,01, 1.8, 0.5, 0.5, 0.6, 0.5, 1.5
2011,10,27,2010,02, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
2011,10,27,2010,03, 0.5, 0.5, 0.5, 0.7, 0.5, 0.6
2011,10,27,2010,04, 0.5, 0.5, 0.5, 1.0, 0.5, 0.6
2011,10,27,2010,05, 0.5, 0.5, 0.5, 1.5, 0.5, 0.6
2011,10,27,2010,06, 0.5, 0.5, 0.5, 1.6, 0.5, 0.6
2011,10,27,2010,07, 0.8, 0.5, 0.5, 1.4, 0.5, 1.8
2011,10,27,2010,08, 1.3, 0.5, 0.6, 1.4, 0.5, 3.0
2011,10,27,2010,09, 1.1, 0.5, 0.6, 1.3, 1.4, 2.8
2011,10,27,2010,10, 1.6, 0.8, 1.1, 2.0, 1.2, 2.9
2011,10,27,2010,11, 1.6, 1.2, 1.2, 2.9, 1.6, 3.8
2011,10,27,2010,12, 1.6, 1.2, 1.4, 2.7, 1.5, 3.5
2011,10,27,2010,13, 2.1, 1.2, 1.6, 3.2, 1.8, 4.0
2011,10,27,2010,14, 2.0, 1.2, 1.7, 3.6, 1.5, 3.7
2011,10,27,2010,15, 1.9, 1.1, 1.5, 3.4, 1.4, 3.5
2011,10,27,2010,16, 1.8, 0.8, 1.3, 3.3, 1.4, 3.8
2011,10,27,2010,17, 1.8, 0.5, 0.9, 2.7, 0.5, 3.0
2011,10,27,2010,18, 2.1, 0.6, 1.2, 3.4, 0.5, 3.6
2011,10,27,2010,19, 3.0, 1.0, 1.6, 4.1, 0.8, 4.7
2011,10,27,2010,20, 2.2, 0.8, 1.1, 3.4, 0.6, 3.6
2011,10,27,2010,21, 1.9, 1.0, 1.1, 3.3, 1.0, 3.9
2011,10,27,2010,22, 1.4, 0.5, 1.0, 2.3, 0.9, 3.3
2011,10,27,2010,23, 0.9, 0.9, 1.4, 2.2, 1.4, 3.7
2011,10,28,2010,00, 1.4, 1.1, 1.1, 2.4, 1.5, 3.6
2011,10,28,2010,01, 1.5, 0.9, 1.1, 2.3, 1.3, 3.9
2011,10,28,2010,02, 1.6, 0.9, 1.2, 2.8, 1.6, 4.3
2011,10,28,2010,03, 1.8, 1.1, 1.6, 3.4, 1.6, 4.5
2011,10,28,2010,04, 1.7, 1.0, 1.5, 3.6, 1.1, 4.2
2011,10,28,2010,05, 1.6, 0.9, 1.7, 3.4, 1.2, 4.1
2011,10,28,2010,06, 1.7, 1.0, 1.5, 3.4, 1.0, 4.3
2011,10,28,2010,07, 1.4, 1.1, 1.7, 3.0, 1.0, 3.3
2011,10,28,2010,08, 1.6, 1.0, 1.5, 3.5, 1.6, 5.0
2011,10,28,2010,09, 1.6, 1.4, 1.9, 3.8, 1.2, 4.8
2011,10,28,2010,10, 2.1, 1.1, 1.9, 3.7, 1.1, 4.6
2011,10,28,2010,11, 1.9, 1.1, 1.3, 2.8, 1.1, 3.2
2011,10,28,2010,12, 2.1, 1.1, 1.4, 3.2, 1.9, 4.0
2011,10,28,2010,13, 1.8, 1.1, 1.3, 2.8, 1.4, 3.3
2011,10,28,2010,14, 1.6, 0.8, 1.4, 3.1, 1.2, 3.1
2011,10,28,2010,15, 2.1, 1.1, 1.5, 3.3, 1.9, 3.8
2011,10,28,2010,16, 1.5, 0.7, 1.1, 2.5, 1.0, 2.9
2011,10,28,2010,17, 1.0, 0.5, 0.8, 2.5, 0.5, 2.7
2011,10,28,2010,18, 0.6, 0.9, 1.0, 1.8, 1.3, 2.9
2011,10,28,2010,19, 1.2, 1.1, 1.3, 1.7, 1.0, 3.3
2011,10,28,2010,20, 0.7, 0.5, 0.8, 1.2, 0.6, 2.9
2011,10,28,2010,21, 1.2, 0.5, 0.5, 1.6, 0.5, 2.6
2011,10,28,2010,22, 1.4, 0.5, 0.5, 1.8, 0.5, 2.6
2011,10,28,2010,23, 1.6, 0.5, 0.5, 1.8, 0.5, 2.3
2011,10,29,2010,00, 1.4, 0.6, 0.5, 1.5, 0.5, 1.2
2011,10,29,2010,01, 1.7, 0.5, 0.5, 2.0, 0.5, 2.6
2011,10,29,2010,02, 1.5, 0.5, 0.5, 1.9, 0.5, 2.1
2011,10,29,2010,03, 1.4, 0.5, 0.5, 1.8, 0.5, 2.4
2011,10,29,2010,04, 1.1, 0.5, 0.5, 1.1, 0.5, 0.9
2011,10,29,2010,05, 0.6, 0.5, 0.5, 0.9, 0.5, 0.5
2011,10,29,2010,06, 0.7, 0.5, 0.5, 0.9, 0.5, 0.6
2011,10,29,2010,07, 0.5, 0.5, 0.5, 1.4, 0.5, 0.6
2011,10,29,2010,08, 0.5, 0.5, 0.5, 0.8, 0.5, 0.5
2011,10,29,2010,09, 0.5, 0.5, 0.5, 0.9, 0.5, 1.0
2011,10,29,2010,10, 0.7, 0.5, 0.5, 1.1, 0.5, 1.1
2011,10,29,2010,11, 1.8, 0.7, 1.0, 1.9, 1.2, 2.0
2011,10,29,2010,12, 1.5, 0.7, 1.0, 1.5, 1.0, 1.3
2011,10,29,2010,13, 1.2, 0.5, 0.8, 1.5, 1.0, 1.4
2011,10,29,2010,14, 1.4, 0.6, 1.0, 2.0, 1.0, 1.8
2011,10,29,2010,15, 1.7, 0.6, 1.0, 1.6, 0.8, 1.7
2011,10,29,2010,16, 1.4, 0.5, 0.7, 1.6, 0.8, 1.6
2011,10,29,2010,17, 0.9, 0.5, 0.5, 1.8, 0.6, 2.3
2011,10,29,2010,18, 0.9, 0.5, 0.5, 1.0, 0.5, 2.7
2011,10,29,2010,19, 0.9, 0.5, 0.5, 1.0, 0.5, 2.3
2011,10,29,2010,20, 0.9, 0.5, 0.5, 1.3, 0.5, 1.5
2011,10,29,2010,21, 0.5, 0.5, 0.5, 1.3, 0.5, 1.8
2011,10,29,2010,22, 0.8, 0.5, 0.5, 1.3, 0.5, 2.3
2011,10,29,2010,23, 0.7, 0.5, 0.7, 0.7, 0.5, 2.9
2011,10,30,2010,00, 0.7, 0.5, 0.6, 1.1, 0.5, 2.8
2011,10,30,2010,01, 0.5, 0.5, 0.9, 0.9, 0.5, 2.5
2011,10,30,2010,02, 0.5, 0.5, 0.7, 0.9, 0.5, 2.7
2011,10,30,2010,03, 0.8, 0.8, 1.1, 1.1, 0.5, 2.6
2011,10,30,2010,04, 1.0, 1.4, 1.3, 1.9, 0.5, 2.1
2011,10,30,2010,05, 1.5, 1.6, 1.6, 1.7, 0.5, 2.9
2011,10,30,2010,06, 1.8, 1.4, 1.4, 2.6, 0.5, 3.0
2011,10,30,2010,07, 2.1, 1.6, 1.6, 2.6, 0.7, 3.6
2011,10,30,2010,08, 2.0, 1.0, 1.3, 2.8, 0.6, 3.1
2011,10,30,2010,09, 1.0, 0.8, 0.8, 1.6, 0.5, 1.7
2011,10,30,2010,10, 0.5, 0.5, 0.5, 0.9, 0.5, 1.4
2011,10,30,2010,11, 0.9, 0.5, 0.5, 0.9, 0.5, 1.0
2011,10,30,2010,12, 1.4, 0.6, 0.8, 1.2, 0.7, 1.2
2011,10,30,2010,13, 2.4, 0.6, 1.0, 1.9, 1.1, 2.5
2011,10,30,2010,14, 2.0, 0.5, 0.6, 1.6, 0.7, 1.7
2011,10,30,2010,15, 2.3, 0.5, 0.8, 1.7, 0.7, 2.0
2011,10,30,2010,16, 2.6, 0.5, 1.1, 2.2, 1.1, 2.7
2011,10,30,2010,17, 1.3, 0.5, 0.5, 1.1, 0.5, 1.3
2011,10,30,2010,18, 0.7, 0.5, 0.5, 0.5, 0.5, 0.8
2011,10,30,2010,19, 1.3, 0.5, 0.5, 0.5, 0.5, 0.8
2011,10,30,2010,20, 1.7, 0.5, 0.5, 1.1, 0.5, 1.6
2011,10,30,2010,21, 1.4, 0.5, 0.5, 1.3, 0.5, 1.7
2011,10,30,2010,22, 1.2, 0.5, 0.5, 0.8, 0.5, 1.4
2011,10,30,2010,23, 0.5, 0.5, 0.5, 0.5, 0.5, 0.8
2011,10,31,2010,00, 0.6, 0.5, 0.5, 0.7, 0.5, 1.0
2011,10,31,2010,01, 1.6, 0.5, 0.5, 1.1, 0.5, 1.5
2011,10,31,2010,02, 2.5, 0.5, 0.5, 1.7, 0.5, 2.1
2011,10,31,2010,03, 2.8, 0.5, 0.5, 1.9, 0.5, 2.4
2011,10,31,2010,04, 2.4, 0.5, 0.5, 1.7, 0.5, 1.9
2011,10,31,2010,05, 2.8, 0.5, 0.5, 2.1, 0.5, 3.0
2011,10,31,2010,06, 2.7, 0.5, 0.5, 1.9, 0.5, 2.6
2011,10,31,2010,07, 2.5, 0.5, 0.5, 1.6, 0.5, 2.3
2011,10,31,2010,08, 1.6, 0.5, 0.5, 1.2, 0.5, 1.5
2011,10,31,2010,09, 2.1, 0.5, 0.5, 1.5, 0.5, 1.8
2011,10,31,2010,10, 2.5, 0.5, 0.9, 2.1, 0.5, 2.6
2011,10,31,2010,11, 2.7, 0.7, 1.0, 2.2, 1.0, 2.7
2011,10,31,2010,12, 3.3, 0.7, 1.4, 3.0, 1.2, 3.8
2011,10,31,2010,13, 4.9, 1.2, 2.0, 4.1, 2.2, 5.3
2011,10,31,2010,14, 5.4, 1.2, 1.9, 4.6, 2.3, 6.4
2011,10,31,2010,15, 5.4, 1.3, 2.1, 4.6, 2.0, 6.4
2011,10,31,2010,16, 4.3, 0.9, 1.7, 3.8, 1.8, 5.6
2011,10,31,2010,17, 3.2, 0.5, 0.6, 2.5, 0.8, 3.6
2011,10,31,2010,18, 2.2, 0.5, 0.5, 1.9, 0.5, 2.2
2011,10,31,2010,19, 1.8, 0.5, 0.5, 1.4, 0.5, 1.8
2011,10,31,2010,20, 1.4, 0.5, 0.5, 1.1, 0.5, 2.0
2011,10,31,2010,21, 1.1, 0.5, 0.5, 0.6, 0.5, 1.1
2011,10,31,2010,22, 0.7, 0.5, 0.5, 0.6, 0.5, 0.7
2011,10,31,2010,23, 0.5, 0.5, 0.5, 1.2, 0.5, 0.7
2011,11,01,2010,00, 0.5, 0.5, 0.5, 0.9, 0.5, 0.6
2011,11,01,2010,01, 0.5, 0.5, 0.5, 1.1, 0.5, 0.7
2011,11,01,2010,02, 0.7, 0.5, 0.5, 1.4, 0.5, 1.0
2011,11,01,2010,03, 0.6, 0.5, 0.5, 1.3, 0.5, 1.0
2011,11,01,2010,04, 0.5, 0.5, 0.5, 1.2, 0.5, 1.3
2011,11,01,2010,05, 0.5, 0.5, 0.5, 1.4, 0.5, 1.2
2011,11,01,2010,06, 0.9, 0.5, 0.5, 1.4, 0.5, 1.3
2011,11,01,2010,07, 0.9, 0.5, 0.5, 1.5, 0.5, 1.0
2011,11,01,2010,08, 0.6, 0.5, 0.5, 1.2, 0.5, 0.9
2011,11,01,2010,09, 0.8, 0.5, 0.5, 0.7, 0.5, 1.0
2011,11,01,2010,10, 1.8, 0.5, 0.5, 1.4, 0.5, 1.8
2011,11,01,2010,11, 2.5, 0.7, 1.0, 2.2, 1.1, 2.5
2011,11,01,2010,12, 2.1, 0.8, 1.0, 1.7, 1.0, 2.1
2011,11,01,2010,13, 2.1, 0.8, 1.0, 1.9, 1.1, 2.2
2011,11,01,2010,14, 2.2, 0.8, 1.0, 2.1, 1.2, 2.1
2011,11,01,2010,15, 1.8, 0.5, 1.0, 2.0, 0.9, 2.0
2011,11,01,2010,16, 1.4, 0.5, 0.5, 1.5, 0.5, 1.3
2011,11,01,2010,17, 0.8, 0.5, 0.5, 0.7, 0.5, 0.9
2011,11,01,2010,18, 0.5, 0.5, 0.5, 1.0, 0.5, 0.7
